GEO_ID,NAME,Total,TotalDifficulty
1400000US25001010100,"Census Tract 101, Barnstable County, Massachusetts",2918,250
1400000US25001010206,"Census Tract 102.06, Barnstable County, Massachusetts",3529,228
1400000US25001010208,"Census Tract 102.08, Barnstable County, Massachusetts",1085,24
1400000US25001010304,"Census Tract 103.04, Barnstable County, Massachusetts",2377,124
1400000US25001010306,"Census Tract 103.06, Barnstable County, Massachusetts",2461,75
1400000US25001010400,"Census Tract 104, Barnstable County, Massachusetts",2981,178
1400000US25001010500,"Census Tract 105, Barnstable County, Massachusetts",2662,164
1400000US25001010600,"Census Tract 106, Barnstable County, Massachusetts",2928,138
1400000US25001010700,"Census Tract 107, Barnstable County, Massachusetts",2767,244
1400000US25001010800,"Census Tract 108, Barnstable County, Massachusetts",4223,97
1400000US25001010900,"Census Tract 109, Barnstable County, Massachusetts",5032,311
1400000US25001011002,"Census Tract 110.02, Barnstable County, Massachusetts",3811,163
1400000US25001011100,"Census Tract 111, Barnstable County, Massachusetts",4694,433
1400000US25001011200,"Census Tract 112, Barnstable County, Massachusetts",3207,138
1400000US25001011300,"Census Tract 113, Barnstable County, Massachusetts",2507,208
1400000US25001011400,"Census Tract 114, Barnstable County, Massachusetts",2882,120
1400000US25001011500,"Census Tract 115, Barnstable County, Massachusetts",3283,222
1400000US25001011600,"Census Tract 116, Barnstable County, Massachusetts",2765,156
1400000US25001011700,"Census Tract 117, Barnstable County, Massachusetts",1832,101
1400000US25001011801,"Census Tract 118.01, Barnstable County, Massachusetts",2311,84
1400000US25001011802,"Census Tract 118.02, Barnstable County, Massachusetts",3948,191
1400000US25001012001,"Census Tract 120.01, Barnstable County, Massachusetts",5356,519
1400000US25001012002,"Census Tract 120.02, Barnstable County, Massachusetts",2572,79
1400000US25001012101,"Census Tract 121.01, Barnstable County, Massachusetts",5038,474
1400000US25001012102,"Census Tract 121.02, Barnstable County, Massachusetts",2925,153
1400000US25001012200,"Census Tract 122, Barnstable County, Massachusetts",4486,337
1400000US25001012502,"Census Tract 125.02, Barnstable County, Massachusetts",3465,170
1400000US25001012601,"Census Tract 126.01, Barnstable County, Massachusetts",3136,385
1400000US25001012602,"Census Tract 126.02, Barnstable County, Massachusetts",4811,508
1400000US25001012700,"Census Tract 127, Barnstable County, Massachusetts",4140,286
1400000US25001012800,"Census Tract 128, Barnstable County, Massachusetts",3735,420
1400000US25001012900,"Census Tract 129, Barnstable County, Massachusetts",3698,307
1400000US25001013002,"Census Tract 130.02, Barnstable County, Massachusetts",2585,218
1400000US25001013100,"Census Tract 131, Barnstable County, Massachusetts",4837,293
1400000US25001013200,"Census Tract 132, Barnstable County, Massachusetts",4466,355
1400000US25001013300,"Census Tract 133, Barnstable County, Massachusetts",2906,216
1400000US25001013400,"Census Tract 134, Barnstable County, Massachusetts",3565,240
1400000US25001013500,"Census Tract 135, Barnstable County, Massachusetts",6925,294
1400000US25001013600,"Census Tract 136, Barnstable County, Massachusetts",5754,468
1400000US25001013700,"Census Tract 137, Barnstable County, Massachusetts",4421,479
1400000US25001013800,"Census Tract 138, Barnstable County, Massachusetts",4881,544
1400000US25001013900,"Census Tract 139, Barnstable County, Massachusetts",4584,171
1400000US25001014002,"Census Tract 140.02, Barnstable County, Massachusetts",4329,168
1400000US25001014100,"Census Tract 141, Barnstable County, Massachusetts",528,17
1400000US25001014300,"Census Tract 143, Barnstable County, Massachusetts",3734,217
1400000US25001014402,"Census Tract 144.02, Barnstable County, Massachusetts",6881,812
1400000US25001014500,"Census Tract 145, Barnstable County, Massachusetts",5224,258
1400000US25001014600,"Census Tract 146, Barnstable County, Massachusetts",4089,228
1400000US25001014700,"Census Tract 147, Barnstable County, Massachusetts",3175,289
1400000US25001014800,"Census Tract 148, Barnstable County, Massachusetts",3166,162
1400000US25001014900,"Census Tract 149, Barnstable County, Massachusetts",3352,240
1400000US25001015001,"Census Tract 150.01, Barnstable County, Massachusetts",4048,435
1400000US25001015002,"Census Tract 150.02, Barnstable County, Massachusetts",3643,144
1400000US25001015100,"Census Tract 151, Barnstable County, Massachusetts",3606,235
1400000US25001015200,"Census Tract 152, Barnstable County, Massachusetts",1971,158
1400000US25001015300,"Census Tract 153, Barnstable County, Massachusetts",3126,134
1400000US25001990000,"Census Tract 9900, Barnstable County, Massachusetts",0,0
1400000US25003900100,"Census Tract 9001, Berkshire County, Massachusetts",2917,267
1400000US25003900200,"Census Tract 9002, Berkshire County, Massachusetts",4129,163
1400000US25003900300,"Census Tract 9003, Berkshire County, Massachusetts",2430,102
1400000US25003900400,"Census Tract 9004, Berkshire County, Massachusetts",4712,275
1400000US25003900500,"Census Tract 9005, Berkshire County, Massachusetts",2925,306
1400000US25003900600,"Census Tract 9006, Berkshire County, Massachusetts",2896,276
1400000US25003900700,"Census Tract 9007, Berkshire County, Massachusetts",2661,210
1400000US25003900800,"Census Tract 9008, Berkshire County, Massachusetts",4695,660
1400000US25003900900,"Census Tract 9009, Berkshire County, Massachusetts",4691,592
1400000US25003901100,"Census Tract 9011, Berkshire County, Massachusetts",3332,449
1400000US25003911100,"Census Tract 9111, Berkshire County, Massachusetts",2783,119
1400000US25003912100,"Census Tract 9121, Berkshire County, Massachusetts",6273,502
1400000US25003913100,"Census Tract 9131, Berkshire County, Massachusetts",4555,386
1400000US25003914100,"Census Tract 9141, Berkshire County, Massachusetts",5447,335
1400000US25003920101,"Census Tract 9201.01, Berkshire County, Massachusetts",4361,663
1400000US25003920102,"Census Tract 9201.02, Berkshire County, Massachusetts",2730,376
1400000US25003921300,"Census Tract 9213, Berkshire County, Massachusetts",4372,643
1400000US25003921400,"Census Tract 9214, Berkshire County, Massachusetts",1311,147
1400000US25003921500,"Census Tract 9215, Berkshire County, Massachusetts",2794,135
1400000US25003922100,"Census Tract 9221, Berkshire County, Massachusetts",2406,130
1400000US25003922200,"Census Tract 9222, Berkshire County, Massachusetts",3320,338
1400000US25003922300,"Census Tract 9223, Berkshire County, Massachusetts",1978,258
1400000US25003923100,"Census Tract 9231, Berkshire County, Massachusetts",3053,283
1400000US25003924100,"Census Tract 9241, Berkshire County, Massachusetts",1724,123
1400000US25003925100,"Census Tract 9251, Berkshire County, Massachusetts",6127,711
1400000US25003926100,"Census Tract 9261, Berkshire County, Massachusetts",3090,450
1400000US25003931100,"Census Tract 9311, Berkshire County, Massachusetts",1703,88
1400000US25003931300,"Census Tract 9313, Berkshire County, Massachusetts",1444,151
1400000US25003931400,"Census Tract 9314, Berkshire County, Massachusetts",1588,108
1400000US25003932200,"Census Tract 9322, Berkshire County, Massachusetts",2334,202
1400000US25003932300,"Census Tract 9323, Berkshire County, Massachusetts",1761,138
1400000US25003933200,"Census Tract 9332, Berkshire County, Massachusetts",1212,122
1400000US25003933300,"Census Tract 9333, Berkshire County, Massachusetts",1471,149
1400000US25003933400,"Census Tract 9334, Berkshire County, Massachusetts",2124,190
1400000US25003934200,"Census Tract 9342, Berkshire County, Massachusetts",1017,100
1400000US25003934300,"Census Tract 9343, Berkshire County, Massachusetts",1887,176
1400000US25003935100,"Census Tract 9351, Berkshire County, Massachusetts",2301,147
1400000US25003935200,"Census Tract 9352, Berkshire County, Massachusetts",4603,548
1400000US25003935300,"Census Tract 9353, Berkshire County, Massachusetts",3785,303
1400000US25005600100,"Census Tract 6001, Bristol County, Massachusetts",3741,212
1400000US25005600202,"Census Tract 6002.02, Bristol County, Massachusetts",4770,499
1400000US25005600203,"Census Tract 6002.03, Bristol County, Massachusetts",5922,636
1400000US25005600204,"Census Tract 6002.04, Bristol County, Massachusetts",3885,239
1400000US25005610100,"Census Tract 6101, Bristol County, Massachusetts",5399,465
1400000US25005610202,"Census Tract 6102.02, Bristol County, Massachusetts",5242,428
1400000US25005610203,"Census Tract 6102.03, Bristol County, Massachusetts",6498,374
1400000US25005610204,"Census Tract 6102.04, Bristol County, Massachusetts",5599,647
1400000US25005611101,"Census Tract 6111.01, Bristol County, Massachusetts",5061,522
1400000US25005611102,"Census Tract 6111.02, Bristol County, Massachusetts",5257,498
1400000US25005611201,"Census Tract 6112.01, Bristol County, Massachusetts",2744,254
1400000US25005611202,"Census Tract 6112.02, Bristol County, Massachusetts",5786,595
1400000US25005612100,"Census Tract 6121, Bristol County, Massachusetts",4522,655
1400000US25005612200,"Census Tract 6122, Bristol County, Massachusetts",8804,1185
1400000US25005613100,"Census Tract 6131, Bristol County, Massachusetts",6137,276
1400000US25005613300,"Census Tract 6133, Bristol County, Massachusetts",6474,650
1400000US25005613400,"Census Tract 6134, Bristol County, Massachusetts",3491,299
1400000US25005613600,"Census Tract 6136, Bristol County, Massachusetts",3591,259
1400000US25005613700,"Census Tract 6137, Bristol County, Massachusetts",3891,334
1400000US25005613800,"Census Tract 6138, Bristol County, Massachusetts",5182,360
1400000US25005613901,"Census Tract 6139.01, Bristol County, Massachusetts",2578,164
1400000US25005613902,"Census Tract 6139.02, Bristol County, Massachusetts",4858,617
1400000US25005614000,"Census Tract 6140, Bristol County, Massachusetts",4243,469
1400000US25005614101,"Census Tract 6141.01, Bristol County, Massachusetts",6542,650
1400000US25005614102,"Census Tract 6141.02, Bristol County, Massachusetts",6278,610
1400000US25005615100,"Census Tract 6151, Bristol County, Massachusetts",7366,411
1400000US25005616100,"Census Tract 6161, Bristol County, Massachusetts",6445,496
1400000US25005617101,"Census Tract 6171.01, Bristol County, Massachusetts",4919,317
1400000US25005617102,"Census Tract 6171.02, Bristol County, Massachusetts",3923,297
1400000US25005630101,"Census Tract 6301.01, Bristol County, Massachusetts",2952,230
1400000US25005630102,"Census Tract 6301.02, Bristol County, Massachusetts",4028,339
1400000US25005630200,"Census Tract 6302, Bristol County, Massachusetts",7787,625
1400000US25005630300,"Census Tract 6303, Bristol County, Massachusetts",8384,750
1400000US25005630400,"Census Tract 6304, Bristol County, Massachusetts",4571,467
1400000US25005631100,"Census Tract 6311, Bristol County, Massachusetts",7038,862
1400000US25005631200,"Census Tract 6312, Bristol County, Massachusetts",7622,690
1400000US25005631300,"Census Tract 6313, Bristol County, Massachusetts",4331,464
1400000US25005631400,"Census Tract 6314, Bristol County, Massachusetts",2491,284
1400000US25005631500,"Census Tract 6315, Bristol County, Massachusetts",2886,297
1400000US25005631600,"Census Tract 6316, Bristol County, Massachusetts",3519,444
1400000US25005631700,"Census Tract 6317, Bristol County, Massachusetts",6254,499
1400000US25005631800,"Census Tract 6318, Bristol County, Massachusetts",7405,321
1400000US25005632100,"Census Tract 6321, Bristol County, Massachusetts",6486,527
1400000US25005632200,"Census Tract 6322, Bristol County, Massachusetts",8325,605
1400000US25005633100,"Census Tract 6331, Bristol County, Massachusetts",5535,399
1400000US25005633200,"Census Tract 6332, Bristol County, Massachusetts",6172,505
1400000US25005640100,"Census Tract 6401, Bristol County, Massachusetts",4691,254
1400000US25005640200,"Census Tract 6402, Bristol County, Massachusetts",5716,319
1400000US25005640300,"Census Tract 6403, Bristol County, Massachusetts",3585,347
1400000US25005640400,"Census Tract 6404, Bristol County, Massachusetts",2544,161
1400000US25005640500,"Census Tract 6405, Bristol County, Massachusetts",4723,232
1400000US25005640600,"Census Tract 6406, Bristol County, Massachusetts",4151,312
1400000US25005640700,"Census Tract 6407, Bristol County, Massachusetts",2499,202
1400000US25005640800,"Census Tract 6408, Bristol County, Massachusetts",3653,189
1400000US25005640901,"Census Tract 6409.01, Bristol County, Massachusetts",4969,273
1400000US25005641000,"Census Tract 6410, Bristol County, Massachusetts",2318,76
1400000US25005641101,"Census Tract 6411.01, Bristol County, Massachusetts",1453,177
1400000US25005641200,"Census Tract 6412, Bristol County, Massachusetts",3007,177
1400000US25005641300,"Census Tract 6413, Bristol County, Massachusetts",4812,361
1400000US25005641400,"Census Tract 6414, Bristol County, Massachusetts",2576,106
1400000US25005641500,"Census Tract 6415, Bristol County, Massachusetts",2266,111
1400000US25005641600,"Census Tract 6416, Bristol County, Massachusetts",1987,93
1400000US25005641700,"Census Tract 6417, Bristol County, Massachusetts",4528,287
1400000US25005641800,"Census Tract 6418, Bristol County, Massachusetts",1750,177
1400000US25005641900,"Census Tract 6419, Bristol County, Massachusetts",1997,153
1400000US25005642000,"Census Tract 6420, Bristol County, Massachusetts",2401,180
1400000US25005642100,"Census Tract 6421, Bristol County, Massachusetts",3641,107
1400000US25005642200,"Census Tract 6422, Bristol County, Massachusetts",3673,450
1400000US25005642300,"Census Tract 6423, Bristol County, Massachusetts",1968,162
1400000US25005642400,"Census Tract 6424, Bristol County, Massachusetts",2921,247
1400000US25005642500,"Census Tract 6425, Bristol County, Massachusetts",4334,244
