GISJOIN,GEOID,TotPop,Allocated
G0100010020100,14000US01001020100,1878,58
G0100010020200,14000US01001020200,1641,122
G0100010020300,14000US01001020300,3405,253
G0100010020400,14000US01001020400,3708,175
G0100010020500,14000US01001020500,9630,615
G0100010020600,14000US01001020600,3463,64
G0100010020700,14000US01001020700,3279,216
G0100010020801,14000US01001020801,3037,248
G0100010020802,14000US01001020802,10304,467
G0100010020900,14000US01001020900,5702,262
G0100010021000,14000US01001021000,2336,131
G0100010021100,14000US01001021100,2952,144
G0100030010100,14000US01003010100,3118,225
G0100030010200,14000US01003010200,2850,162
G0100030010300,14000US01003010300,7692,631
G0100030010400,14000US01003010400,4702,439
G0100030010500,14000US01003010500,4616,331
G0100030010600,14000US01003010600,3478,127
G0100030010701,14000US01003010701,8284,882
G0100030010703,14000US01003010703,18705,1417
G0100030010704,14000US01003010704,5872,246
G0100030010705,14000US01003010705,8525,661
G0100030010800,14000US01003010800,6261,288
G0100030010903,14000US01003010903,5163,302
G0100030010904,14000US01003010904,6257,684
G0100030010905,14000US01003010905,7832,646
G0100030010906,14000US01003010906,4701,279
G0100030011000,14000US01003011000,4344,475
G0100030011101,14000US01003011101,10921,878
G0100030011102,14000US01003011102,4741,438
G0100030011201,14000US01003011201,4758,297
G0100030011202,14000US01003011202,5475,221
G0100030011300,14000US01003011300,5049,431
G0100030011401,14000US01003011401,11292,1489
G0100030011403,14000US01003011403,10831,407
G0100030011405,14000US01003011405,4520,528
G0100030011406,14000US01003011406,3013,215
G0100030011407,14000US01003011407,4923,282
G0100030011408,14000US01003011408,558,47
G0100030011501,14000US01003011501,6501,474
G0100030011502,14000US01003011502,12189,1231
G0100030011601,14000US01003011601,5594,419
G0100030011602,14000US01003011602,5851,450
G0100030990000,14000US01003990000,0,0
G0100050950100,14000US01005950100,2850,172
G0100050950200,14000US01005950200,2322,222
G0100050950300,14000US01005950300,1494,119
G0100050950400,14000US01005950400,2471,97
G0100050950500,14000US01005950500,3124,238
G0100050950600,14000US01005950600,1813,128
G0100050950700,14000US01005950700,1284,87
G0100050950800,14000US01005950800,2094,153
G0100050950900,14000US01005950900,3674,172
